Potential (V),Current (uA)
-0.50017,-0.013999938000000002
-0.48029299999999997,-0.013999938000000002
-0.46041499999999996,-0.013999938000000002
-0.44053699999999996,-0.006999969000000001
-0.420659,-0.006999969000000001
-0.400781,-0.006999969000000001
-0.380903,-0.0034999840000000003
-0.361025,-0.0034999840000000003
-0.341147,-0.0034999840000000003
-0.32126899999999997,-0.0017499920000000001
-0.30139099999999996,-0.0017499920000000001
-0.281514,0.0
-0.261636,0.0
-0.241758,0.0
-0.22188,0.0
-0.202002,0.00043749800000000003
-0.18212399999999998,0.00043749800000000003
-0.162246,0.00043749800000000003
-0.142368,0.0008749960000000001
-0.12248999999999999,0.0008749960000000001
-0.102612,0.0010937450000000001
-0.08273504000000001,0.0014218680000000002
-0.062857144,0.001531243
-0.04297924,0.0017499920000000001
-0.023101342,0.002827987
-0.0032234430000000003,0.0030519860000000005
0.016654456,0.0032983850000000005
0.036532356,0.0035727840000000003
0.056410256000000006,0.003947982
0.07628816000000001,0.00445198
0.096166048,0.005090377000000001
0.116043,0.005991973
0.135921,0.007151168
0.155799,0.008696762
0.175677,0.010740752000000001
0.19555499999999998,0.013389541
0.21543299999999999,0.016732726
0.235311,0.020893508
0.255189,0.025787888000000002
0.275067,0.031085464000000007
0.294945,0.03645584
0.314822,0.04137822000000001
0.3347,0.045628600000000005
0.354578,0.049184584
0.37445599999999996,0.052171644
0.39433399999999996,0.056984124000000004
0.41421199999999997,0.06212472
0.43409,0.068030952
0.453968,0.07448404
0.473846,0.08126526400000002
0.493724,0.086843368
0.513601,0.08892148000000001
0.5334789999999999,0.087280856
0.553357,0.08607774400000001
0.5732349999999999,0.08793711200000001
0.593113,0.09132772000000001
0.612991,0.09493708000000001
0.632869,0.09920268800000001
0.652747,0.10489
0.6726249999999999,0.112874
0.692503,0.124686
0.71238,0.142296
0.732258,0.16953
0.7521359999999999,0.212733
0.772014,0.285795
0.7918919999999999,0.424701
0.81177,0.7324809999999999
0.8316479999999999,1.4725089999999998
0.851526,2.907393
0.871404,4.471667
0.891281,5.314725999999999
0.9111589999999999,5.524725
0.931037,5.194851
0.950915,4.813353
0.9707929999999999,4.425730000000001
0.990671,4.042482
1.010549,3.682858
1.030427,3.351235
1.050305,3.051111
1.0701829999999999,2.791237
1.090061,2.564613
1.1099379999999999,2.3712389999999997
1.129816,2.207615
1.149694,2.06324
1.169572,1.9433659999999997
1.18945,1.836616
1.209328,1.7421170000000001
1.229206,1.660742
1.2490839999999999,1.585492
1.268962,1.518993
1.28884,1.459493
1.308717,1.402618
1.328595,1.3527429999999998
1.348473,1.306369
1.3683509999999999,1.263494
1.388229,1.2258689999999999
1.408107,1.189119
1.4279849999999998,1.156744
1.447863,1.126995
1.467741,1.09812
1.487619,1.0727449999999998
1.507496,1.0482449999999999
1.527374,1.02462
1.5472519999999998,1.0053699999999999
1.56713,0.983495
1.587008,0.965995
1.606886,0.9476199999999999
1.6267639999999999,0.9301200000000001
1.646642,0.91612
1.66652,0.899495
1.686397,0.8854960000000001
1.706275,0.8723709999999999
1.7261529999999998,0.8566210000000001
1.7460309999999999,0.846121
1.765909,0.832996
1.785787,0.8216209999999999
1.8056649999999999,0.811996
1.785787,0.799746
1.765909,0.790996
1.7460309999999999,0.780496
1.7261529999999998,0.769996
1.706275,0.762121
1.686397,0.7524959999999999
1.66652,0.742871
1.646642,0.7358709999999999
1.6267639999999999,0.7262460000000001
1.606886,0.7201209999999999
1.587008,0.712246
1.56713,0.7043710000000001
1.5472519999999998,0.6982459999999999
1.527374,0.6903710000000001
1.507496,0.6833710000000001
1.487619,0.678121
1.467741,0.6702469999999999
1.447863,0.6649970000000001
1.4279849999999998,0.658872
1.408107,0.651872
1.388229,0.648372
1.3683509999999999,0.6413719999999999
1.348473,0.636122
1.328595,0.631747
1.308717,0.6247469999999999
1.28884,0.621247
1.268962,0.6151220000000001
1.2490839999999999,0.609872
1.229206,0.606372
1.209328,0.600247
1.18945,0.5967469999999999
1.169572,0.592372
1.149694,0.587122
1.129816,0.584497
1.1099379999999999,0.5792470000000001
1.090061,0.5223720000000001
1.0701829999999999,0.315873
1.050305,0.193374
1.030427,0.120749
1.010549,0.07699965600000001
0.990671,0.05162476800000001
0.9707929999999999,0.036312340000000005
0.950915,0.025812384000000004
0.931037,0.019249914000000003
0.9111589999999999,0.014437436
0.891281,0.010937452
0.871404,0.008093714000000002
0.851526,0.005359351
0.8316479999999999,0.00339061
0.81177,0.00098437
0.7918919999999999,-0.00437918
0.772014,-0.006691970000000001
0.7521359999999999,-0.00903836
0.732258,-0.011782348000000002
0.71238,-0.014733535
0.692503,-0.018295118
0.6726249999999999,-0.022439102000000002
0.652747,-0.027288680000000003
0.632869,-0.033431854000000004
0.612991,-0.04019662
0.593113,-0.047414992
0.5732349999999999,-0.05426936
0.553357,-0.073718424
0.5334789999999999,-0.09526520000000001
0.513601,-0.12392099999999999
0.493724,-0.165046
0.473846,-0.222905
0.453968,-0.308108
0.43409,-0.44023199999999996
0.41421199999999997,-0.651543
0.39433399999999996,-1.017839
0.37445599999999996,-1.6950859999999999
0.354578,-2.8839870000000003
0.3347,-4.535978999999999
0.314822,-5.924598
0.294945,-6.1905969999999995
0.275067,-5.1843520000000005
0.255189,-3.35911
0.235311,-1.764867
0.21543299999999999,-0.9064949999999999
0.19555499999999998,-0.5083719999999999
0.175677,-0.300123
0.155799,-0.201249
0.135921,-0.15312399999999998
0.116043,-0.130374
0.096166048,-0.118999
0.07628816000000001,-0.113311
0.056410256000000006,-0.109812
0.036532356,-0.108499
0.016654456,-0.10893699999999999
-0.0032234430000000003,-0.10806199999999999
-0.023101342,-0.107624
-0.04297924,-0.105874
-0.062857144,-0.101937
-0.08273504000000001,-0.098437064
-0.102612,-0.09362458400000001
-0.12248999999999999,-0.088812104
-0.142368,-0.08487462400000001
-0.162246,-0.08049964
-0.18212399999999998,-0.07809340000000001
-0.202002,-0.075905912
-0.22188,-0.073499672
-0.241758,-0.07240592800000001
-0.261636,-0.070874688
-0.281514,-0.069780936
-0.30139099999999996,-0.06868719200000001
-0.32126899999999997,-0.067593448
-0.341147,-0.068249696
-0.361025,-0.07021843200000001
-0.380903,-0.07503092
-0.400781,-0.08487462400000001
-0.420659,-0.099749552
-0.44053699999999996,-0.122499
-0.46041499999999996,-0.153999
-0.48029299999999997,-0.19359200000000001
-0.50017,-0.241936
