Potential (V),Current (µA)
0.0,-2.575988
-0.002148962,-0.237998
-0.004297924,-0.069999688
-0.006446886000000001,-0.020999908000000005
-0.008595848,-0.020999908000000005
-0.01074481,-0.020999908000000005
-0.012893773,-0.010499954000000002
-0.015042735000000002,-0.010499954000000002
-0.017191696,-0.010499954000000002
-0.019340658,-0.005249977000000001
-0.02148962,-0.005249977000000001
-0.023638584,-0.0034999840000000003
-0.025787546,-0.0026249880000000004
-0.027936508000000002,-0.0017499920000000001
-0.030085470000000003,-0.0026249880000000004
-0.03223443,-0.0013124940000000002
-0.034383392,-0.0013124940000000002
-0.036532356,-0.0013124940000000002
-0.038681316,-0.0006562470000000001
-0.040830280000000004,-0.0006562470000000001
-0.04297924,-0.0006562470000000001
-0.045128204000000005,-0.00032812300000000004
-0.047277168,-0.00032812300000000004
-0.049426128,-0.00032812300000000004
-0.051575092,5.5999750000000005e-06
-0.053724056000000006,1.6799928e-05
-0.055873016000000005,5.5999750000000005e-06
-0.058021976,0.0
-0.060170940000000006,1.1199951000000002e-05
-0.062319900000000004,1.1199951000000002e-05
-0.06446886,0.0
-0.066617824,5.5999750000000005e-06
-0.068766784,1.6799928e-05
-0.070915752,0.0
-0.073064712,0.0
-0.07521367200000001,1.1199951000000002e-05
-0.077362632,1.1199951000000002e-05
-0.0795116,0.0
-0.08166056000000001,5.5999750000000005e-06
-0.08380952800000001,1.6799928e-05
-0.08595848,5.5999750000000005e-06
-0.088107448,0.0
-0.09025640800000001,1.1199951000000002e-05
-0.092405368,1.1199951000000002e-05
-0.094554336,0.0
-0.09670329600000001,5.5999750000000005e-06
-0.098852256,1.6799928e-05
-0.101001,5.5999750000000005e-06
-0.10314999999999999,0.0
-0.10529899999999999,1.1199951000000002e-05
-0.107448,1.1199951000000002e-05
-0.109597,0.0
-0.111746,5.5999750000000005e-06
-0.113894,1.6799928e-05
-0.116043,5.5999750000000005e-06
-0.11819199999999999,0.0
-0.12034099999999999,1.1199951000000002e-05
-0.12248999999999999,1.1199951000000002e-05
-0.124639,0.0
-0.12678799999999998,5.5999750000000005e-06
-0.128937,1.6799928e-05
-0.13108599999999998,5.5999750000000005e-06
-0.133235,0.0
-0.135384,1.1199951000000002e-05
-0.137533,1.1199951000000002e-05
-0.139682,0.0
-0.14183099999999998,5.5999750000000005e-06
-0.14398,1.6799928e-05
-0.14612899999999998,1.1199951000000002e-05
-0.148278,0.0
-0.150427,1.1199951000000002e-05
-0.152576,1.6799928e-05
-0.154725,0.0
-0.15687399999999999,5.5999750000000005e-06
-0.159023,1.6799928e-05
