Potential (V),Current (uA),Current Forward (uA),Current Reverse (uA),Current Diff (uA)
-0.5998859999999999,-0.039255828,-0.012947143000000001,0.026308684000000002,-0.039255828
-0.5979099999999999,-0.040191024,-0.013887939,0.026303084,-0.040191024
-0.595934,-0.044463804,-0.019146314,0.025317488000000003,-0.044463804
-0.593958,-0.047683788000000005,-0.022075102,0.025608686000000002,-0.047683788000000005
-0.5919829999999999,-0.048826184,-0.023620696000000004,0.02520549,-0.048826184
-0.590007,-0.050052580000000006,-0.024365492000000002,0.025687086,-0.050052580000000006
-0.588031,-0.050791776000000004,-0.025362288,0.025429488000000004,-0.050791776000000004
-0.586055,-0.050416576000000005,-0.025272688,0.025143888,-0.050416576000000005
-0.584079,-0.051413372000000006,-0.025871886,0.025541486000000002,-0.051413372000000006
-0.5821029999999999,-0.05181097600000001,-0.026387084000000005,0.025423888000000002,-0.05181097600000001
-0.580127,-0.05314936800000001,-0.026689482000000004,0.026459882,-0.05314936800000001
-0.578151,-0.052981368,-0.02691348,0.026067886000000002,-0.052981368
-0.576175,-0.053250164,-0.026683884,0.026566284000000003,-0.053250164
-0.574199,-0.053177364000000005,-0.026907882,0.026269484,-0.053177364000000005
-0.5722229999999999,-0.052992564000000006,-0.026521484,0.026471082000000003,-0.052992564000000006
-0.570248,-0.053098968,-0.026566284000000003,0.026532684,-0.053098968
-0.568272,-0.05341256800000001,-0.026689482000000004,0.026723082000000002,-0.05341256800000001
-0.566296,-0.053362164000000004,-0.026835082,0.026527082000000004,-0.053362164000000004
-0.5643199999999999,-0.052813364,-0.026448682,0.026364684000000003,-0.052813364
-0.562344,-0.05363096400000001,-0.026963882,0.026667082,-0.05363096400000001
-0.560368,-0.052835768000000005,-0.026286284000000004,0.026549482000000003,-0.052835768000000005
-0.558392,-0.053154964000000006,-0.026168684,0.026986282,-0.053154964000000006
-0.556416,-0.052152568,-0.025871886,0.026280684000000002,-0.052152568
-0.5544399999999999,-0.052085372000000005,-0.025675886000000002,0.026409484,-0.052085372000000005
-0.552464,-0.052118972,-0.025944686,0.026174286,-0.052118972
-0.550488,-0.05145817600000001,-0.025306288,0.026151886000000003,-0.05145817600000001
-0.548512,-0.05145257200000001,-0.025507888000000003,0.025944686,-0.05145257200000001
-0.5465369999999999,-0.05057898,-0.025099088000000002,0.025479888000000003,-0.05057898
-0.544561,-0.04998538,-0.024813492000000003,0.025171890000000002,-0.04998538
-0.542585,-0.04990138000000001,-0.024628692000000004,0.025272688,-0.04990138000000001
-0.540609,-0.048333388000000005,-0.023771894000000002,0.024561492,-0.048333388000000005
-0.538633,-0.047846188000000005,-0.023587096000000002,0.024259092000000003,-0.047846188000000005
-0.5366569999999999,-0.047235792000000006,-0.023379898000000003,0.023855894000000002,-0.047235792000000006
-0.534681,-0.045953396,-0.0227695,0.023183898,-0.045953396
-0.532705,-0.0458302,-0.022668700000000003,0.023161498000000003,-0.0458302
-0.530729,-0.044435804,-0.021946302,0.022489502,-0.044435804
-0.528753,-0.04362380800000001,-0.021677504,0.021946302,-0.04362380800000001
-0.5267769999999999,-0.042655012000000006,-0.021184708,0.021470304,-0.042655012000000006
-0.524802,-0.041854216,-0.021027906000000002,0.020826308,-0.041854216
-0.522826,-0.039743024,-0.019958312000000002,0.019784712000000003,-0.039743024
-0.5208499999999999,-0.03869022800000001,-0.019247114,0.019443114,-0.03869022800000001
-0.518874,-0.03740783200000001,-0.018535918000000002,0.018871918,-0.03740783200000001
-0.516898,-0.036982236,-0.018379118,0.018603118000000002,-0.036982236
-0.514922,-0.03446784800000001,-0.017231124,0.017236724000000002,-0.03446784800000001
-0.512946,-0.034019848,-0.017085524,0.016934324,-0.034019848
-0.5109699999999999,-0.032709456000000005,-0.016598327000000003,0.016111129000000002,-0.032709456000000005
-0.508994,-0.030956664000000002,-0.015545532000000003,0.015411132000000001,-0.030956664000000002
-0.507018,-0.029797468000000004,-0.015215133,0.014582336000000001,-0.029797468000000004
-0.505042,-0.028352674,-0.014386336000000001,0.013966338000000002,-0.028352674
-0.5030669999999999,-0.026431882000000004,-0.01350714,0.012924743,-0.026431882000000004
-0.501091,-0.025703886000000002,-0.013327941000000001,0.012375945000000001,-0.025703886000000002
-0.499115,-0.024359894,-0.012437545000000001,0.011922347,-0.024359894
-0.497139,-0.023525496000000003,-0.012067947,0.01145755,-0.023525496000000003
-0.49516299999999996,-0.022159102000000003,-0.010813553000000002,0.011345550000000001,-0.022159102000000003
-0.493187,-0.020927110000000002,-0.010527954,0.010399154,-0.020927110000000002
-0.49121099999999995,-0.020109512000000003,-0.010113555000000002,0.009995956000000002,-0.020109512000000003
-0.489235,-0.019039914,-0.009396758,0.009643157000000001,-0.019039914
-0.487259,-0.018003922000000002,-0.00904396,0.008959961,-0.018003922000000002
-0.48528299999999996,-0.017421522000000002,-0.008332763000000002,0.009088760000000001,-0.017421522000000002
-0.483307,-0.017331922,-0.008091964,0.009239959,-0.017331922
-0.481332,-0.015360732000000002,-0.007302368,0.008058365000000001,-0.015360732000000002
-0.479356,-0.014867935000000002,-0.006663970000000001,0.008203964000000001,-0.014867935000000002
-0.47737999999999997,-0.014436736,-0.006899169,0.007537566,-0.014436736
-0.475404,-0.013994339000000001,-0.006115173,0.007879165,-0.013994339000000001
-0.47342799999999996,-0.013266342,-0.005907974000000001,0.007358367000000001,-0.013266342
-0.471452,-0.012930344000000002,-0.005179977,0.007750366000000001,-0.012930344000000002
-0.469476,-0.012846343000000001,-0.005079177000000001,0.007767166000000001,-0.012846343000000001
-0.46749999999999997,-0.012135146000000001,-0.004653579000000001,0.0074815670000000015,-0.012135146000000001
-0.465524,-0.012482345,-0.004905578000000001,0.007576767000000001,-0.012482345
-0.46354799999999996,-0.012135147,-0.00452478,0.0076103670000000016,-0.012135147
-0.461572,-0.012431945000000002,-0.00451918,0.007912765,-0.012431945000000002
-0.459596,-0.012084746,-0.004362381,0.0077223660000000005,-0.012084746
-0.457621,-0.012767944000000002,-0.00445758,0.008310363000000001,-0.012767944000000002
-0.45564499999999997,-0.011955947000000001,-0.003779983,0.008175964,-0.011955947000000001
-0.453669,-0.012963944000000002,-0.004295181,0.008668762,-0.012963944000000002
-0.45169299999999996,-0.01347914,-0.004261581,0.009217559,-0.01347914
-0.449717,-0.014145538000000001,-0.004608779,0.009536758000000001,-0.014145538000000001
-0.447741,-0.014991134000000001,-0.0050399780000000005,0.009951156000000001,-0.014991134000000001
-0.44576499999999997,-0.015797531,-0.0052135770000000005,0.010583953,-0.015797531
-0.443789,-0.016133529000000004,-0.005381576,0.010751952,-0.016133529000000004
-0.44181299999999996,-0.016827926,-0.005555175000000001,0.011272751000000001,-0.016827926
-0.439837,-0.017953520000000004,-0.006311172,0.011642348,-0.017953520000000004
-0.437861,-0.018838318000000003,-0.00664717,0.012191147000000001,-0.018838318000000003
-0.435886,-0.02026071,-0.0074815670000000015,0.012779144000000001,-0.02026071
-0.43390999999999996,-0.020697508000000003,-0.007537566,0.013159942,-0.020697508000000003
-0.431934,-0.021823104000000003,-0.008019164,0.013803939000000001,-0.021823104000000003
-0.429958,-0.0225119,-0.008243163000000001,0.014268737,-0.0225119
-0.427982,-0.023956694000000004,-0.00915596,0.014800735,-0.023956694000000004
-0.426006,-0.025379088000000005,-0.010063156,0.015315932,-0.025379088000000005
-0.42402999999999996,-0.026846282000000003,-0.010931152000000001,0.015915129000000004,-0.026846282000000003
-0.422054,-0.02726628,-0.011104751000000001,0.016161529,-0.02726628
-0.420078,-0.028263074000000003,-0.011485549000000001,0.016777526,-0.028263074000000003
-0.418102,-0.029411070000000004,-0.012224746,0.017186324,-0.029411070000000004
-0.416126,-0.030290268000000002,-0.012986343000000001,0.017303924000000002,-0.030290268000000002
-0.414151,-0.031393460000000005,-0.013176742000000002,0.01821672,-0.031393460000000005
-0.41217499999999996,-0.031880658000000006,-0.013619140000000002,0.018261518,-0.031880658000000006
-0.410199,-0.032860656,-0.014655135000000001,0.01820552,-0.032860656
-0.408223,-0.033336652,-0.014683135000000002,0.018653518,-0.033336652
-0.40624699999999997,-0.035050248000000006,-0.015534332000000001,0.019515914,-0.035050248000000006
-0.404271,-0.03468064800000001,-0.015601531000000002,0.019079116000000004,-0.03468064800000001
-0.40229499999999996,-0.035828644,-0.01610553,0.019723112,-0.035828644
-0.400319,-0.036719036000000004,-0.016822326000000002,0.019896712,-0.036719036000000004
-0.398343,-0.036870236,-0.016715927000000002,0.02015431,-0.036870236
-0.39636699999999997,-0.037906232000000005,-0.017572722000000002,0.020333512,-0.037906232000000005
-0.394391,-0.037626232,-0.017163924000000004,0.02046231,-0.037626232
-0.39241499999999996,-0.039423828,-0.018407120000000003,0.021016706,-0.039423828
-0.39044,-0.039384628000000005,-0.018272718,0.021111906,-0.039384628000000005
-0.388464,-0.039759824000000006,-0.018692716,0.021067108,-0.039759824000000006
-0.386488,-0.040090224,-0.019168714000000003,0.020921508000000002,-0.040090224
-0.38451199999999996,-0.040420620000000004,-0.019370316000000002,0.021050306,-0.040420620000000004
-0.382536,-0.040935820000000005,-0.019655912,0.021279906,-0.040935820000000005
-0.38056,-0.040739816,-0.019202314,0.021537504000000002,-0.040739816
-0.378584,-0.042195812,-0.020294310000000003,0.021901502000000003,-0.042195812
-0.376608,-0.04172541600000001,-0.019823914,0.021901502000000003,-0.04172541600000001
-0.37463199999999997,-0.041467816000000005,-0.020008712,0.021459104,-0.041467816000000005
-0.372656,-0.042039016,-0.020243912,0.021795104000000003,-0.042039016
-0.37068,-0.042039016,-0.02038391,0.021655104,-0.042039016
-0.368705,-0.042285412,-0.020305510000000002,0.021979902,-0.042285412
-0.36672899999999997,-0.042800612,-0.020792708000000003,0.022007904000000002,-0.042800612
-0.364753,-0.042319012,-0.020479110000000002,0.021839904,-0.042319012
-0.36277699999999996,-0.042985408,-0.020910308000000002,0.022075102,-0.042985408
-0.360801,-0.042688612,-0.020803908000000003,0.021884704,-0.042688612
-0.358825,-0.04292941200000001,-0.020876708,0.022052702000000004,-0.04292941200000001
-0.35684899999999997,-0.042615812,-0.020887908000000004,0.021727904,-0.042615812
-0.354873,-0.042890212000000004,-0.02066391,0.022226302,-0.042890212000000004
-0.35289699999999996,-0.042716612,-0.020927108,0.021789504,-0.042716612
-0.350921,-0.042778212,-0.021218308,0.021559904,-0.042778212
-0.348945,-0.042526212,-0.020574308000000003,0.021951904,-0.042526212
-0.34697,-0.04279501200000001,-0.020949508000000002,0.021845504,-0.04279501200000001
-0.34499399999999997,-0.043142212000000006,-0.020865508,0.022276702000000002,-0.043142212000000006
-0.343018,-0.04244221200000001,-0.020647110000000003,0.021795104000000003,-0.04244221200000001
-0.341042,-0.042375012000000004,-0.020865508,0.021509506,-0.042375012000000004
-0.339066,-0.042912612,-0.021089508,0.021823104000000003,-0.042912612
-0.33709,-0.043086212,-0.020792708000000003,0.022293502,-0.043086212
-0.33511399999999997,-0.042291012,-0.020630308000000003,0.021660706000000002,-0.042291012
-0.333138,-0.042817412000000006,-0.021285506,0.021531906,-0.042817412000000006
-0.331162,-0.042694216,-0.021089508,0.021604706,-0.042694216
-0.329186,-0.042879012,-0.021319106,0.021559904,-0.042879012
-0.32721,-0.042918212000000004,-0.020859908,0.022058304,-0.042918212000000004
-0.325235,-0.042599012,-0.020843108000000003,0.021755904000000003,-0.042599012
-0.32325899999999996,-0.04241981200000001,-0.020669508,0.021750304,-0.04241981200000001
-0.321283,-0.042755812000000004,-0.020932708,0.021823104000000003,-0.042755812000000004
-0.319307,-0.042179016,-0.020943908000000004,0.021235106000000004,-0.042179016
-0.317331,-0.04258221200000001,-0.021011108,0.021571106000000003,-0.04258221200000001
