Potential (V),Current (uA),Current Forward (uA),Current Reverse (uA),Current Diff (uA)
-0.999811,0.025474290000000004,0.17403,0.148556,0.025474290000000004
-0.9978349999999999,0.025082298000000003,0.174629,0.149547,0.025082298000000003
-0.9958589999999999,0.027053472000000002,0.174674,0.14762,0.027053472000000002
-0.993883,0.029086278000000004,0.17446099999999998,0.14537499999999998,0.029086278000000004
-0.991907,0.03174066600000001,0.17446099999999998,0.14271999999999999,0.03174066600000001
-0.989931,0.03387984000000001,0.173532,0.139652,0.03387984000000001
-0.9879549999999999,0.036965428,0.173156,0.136191,0.036965428
-0.9859789999999999,0.03943503200000001,0.172602,0.13316699999999998,0.03943503200000001
-0.984003,0.04177581600000001,0.17194099999999998,0.130165,0.04177581600000001
-0.982027,0.045555804000000005,0.171728,0.126173,0.045555804000000005
-0.9800519999999999,0.04761657600000001,0.171062,0.123445,0.04761657600000001
-0.978076,0.04992378000000001,0.170592,0.12066800000000001,0.04992378000000001
-0.9761,0.052096564000000005,0.170076,0.11798,0.052096564000000005
-0.974124,0.053132564,0.169192,0.116059,0.053132564
-0.9721479999999999,0.054885352000000005,0.168396,0.113511,0.054885352000000005
-0.9701719999999999,0.05629094800000001,0.167864,0.111573,0.05629094800000001
-0.968196,0.058592552000000006,0.167624,0.10903099999999999,0.058592552000000006
-0.96622,0.060026132,0.166683,0.106657,0.060026132
-0.964244,0.062607728,0.166761,0.104153,0.062607728
-0.9622679999999999,0.06298852,0.16563,0.102641,0.06298852
-0.9602919999999999,0.06455652,0.164874,0.100317,0.06455652
-0.958317,0.065810912,0.164297,0.098486768,0.065810912
-0.956341,0.068134896,0.16430299999999998,0.096168376,0.068134896
-0.9543649999999999,0.070554096,0.163194,0.092640392,0.070554096
-0.9523889999999999,0.076988464,0.16269599999999998,0.08570761600000001,0.076988464
-0.950413,0.083366832,0.1619,0.07853404800000001,0.083366832
-0.948437,0.0925116,0.16187200000000002,0.06936129600000002,0.0925116
-0.946461,0.09841956800000001,0.160836,0.062417324,0.09841956800000001
-0.9444849999999999,0.107261,0.160299,0.05303736800000001,0.107261
-0.9425089999999999,0.115337,0.159968,0.044631804000000004,0.115337
-0.940533,0.12158599999999999,0.159,0.03741343600000001,0.12158599999999999
-0.938557,0.12714699999999998,0.158496,0.031348664000000005,0.12714699999999998
-0.9365819999999999,0.13467300000000001,0.158546,0.023872696,0.13467300000000001
-0.9346059999999999,0.14032899999999998,0.157135,0.016805526,0.14032899999999998
-0.93263,0.146433,0.15658,0.010147155000000001,0.146433
-0.930654,0.152912,0.156608,0.0036959830000000003,0.152912
-0.928678,0.157208,0.155236,-0.001971191,0.157208
-0.9267019999999999,0.162908,0.15524200000000002,-0.007666366,0.162908
-0.9247259999999999,0.168116,0.154654,-0.013462340000000001,0.168116
-0.92275,0.172742,0.153338,-0.019403916000000004,0.172742
-0.920774,0.177569,0.153321,-0.024247892,0.177569
-0.918798,0.18197100000000002,0.153439,-0.028531876000000005,0.18197100000000002
-0.9168219999999999,0.183729,0.15214,-0.03158946,0.183729
-0.9148459999999999,0.187162,0.151305,-0.03585664000000001,0.187162
-0.912871,0.190466,0.150644,-0.03982142400000001,0.190466
-0.910895,0.192157,0.14972,-0.042436616,0.192157
-0.9089189999999999,0.19544999999999998,0.14961999999999998,-0.0458302,0.19544999999999998
-0.9069429999999999,0.19766199999999998,0.149653,-0.048008588000000005,0.19766199999999998
-0.904967,0.199207,0.147788,-0.051418976000000005,0.199207
-0.902991,0.200865,0.147581,-0.053283768,0.200865
-0.901015,0.20337899999999998,0.14693699999999998,-0.056442152,0.20337899999999998
-0.8990389999999999,0.20480199999999998,0.146288,-0.05851414,0.20480199999999998
-0.8970629999999999,0.20694700000000002,0.14574399999999998,-0.06120213200000001,0.20694700000000002
-0.895087,0.207759,0.14446799999999999,-0.06329092000000001,0.207759
-0.893111,0.20978,0.144143,-0.065637312,0.20978
-0.8911359999999999,0.21235099999999998,0.144288,-0.06806210400000001,0.21235099999999998
