Potential (V),Current (uA),Current Forward (uA),Current Reverse (uA),Current Diff (uA)
-0.5998859999999999,0.06408052000000002,0.05409576000000001,-0.009984756000000001,0.06408052000000002
-0.5979099999999999,0.06358772,0.047812592,-0.015775131,0.06358772
-0.595934,0.06158293200000001,0.042683012000000006,-0.018899916,0.06158293200000001
-0.593958,0.060160532,0.039457428,-0.020703108,0.060160532
-0.5919829999999999,0.05877174,0.037133436000000006,-0.021638306000000003,0.05877174
-0.590007,0.05803814400000001,0.035414244,-0.022623900000000002,0.05803814400000001
-0.588031,0.057382952,0.034204652,-0.023178298000000003,0.057382952
-0.586055,0.056615748,0.03312385400000001,-0.023491896,0.056615748
-0.584079,0.05623495600000001,0.032345458,-0.023889494,0.05623495600000001
-0.5821029999999999,0.055921352,0.03164546000000001,-0.024275894000000003,0.055921352
-0.580127,0.055529356,0.031107864,-0.024421492000000003,0.055529356
-0.578151,0.05523255600000001,0.030547864,-0.024684692000000005,0.05523255600000001
-0.576175,0.054874160000000005,0.030189466,-0.024684692000000005,0.054874160000000005
-0.574199,0.054689360000000006,0.029875868,-0.024813492000000003,0.054689360000000006
-0.5722229999999999,0.05474536000000001,0.029584670000000004,-0.025160690000000003,0.05474536000000001
-0.570248,0.05451016,0.029287872000000003,-0.025222288000000002,0.05451016
-0.568272,0.054246964,0.028912672000000004,-0.025334290000000002,0.054246964
-0.566296,0.05417976,0.028722274000000002,-0.025457488,0.05417976
-0.5643199999999999,0.054162964,0.028767074000000004,-0.025395888000000002,0.054162964
-0.562344,0.05386616400000001,0.028380676000000004,-0.025485488000000004,0.05386616400000001
-0.560368,0.053664564000000005,0.028151076000000004,-0.025513488,0.053664564000000005
-0.558392,0.053692564000000005,0.028100676,-0.025591888000000004,0.053692564000000005
-0.556416,0.053457364,0.027949476,-0.025507888000000003,0.053457364
-0.5544399999999999,0.05332856400000001,0.027641478000000004,-0.025687086,0.05332856400000001
-0.552464,0.05337896400000001,0.027647078000000002,-0.025731888,0.05337896400000001
-0.550488,0.053126964000000006,0.027490278000000003,-0.025636688000000005,0.053126964000000006
-0.548512,0.053160564,0.027355878,-0.025804686,0.053160564
-0.5465369999999999,0.05316616400000001,0.027355878,-0.025810286,0.05316616400000001
-0.544561,0.05293656800000001,0.02717668,-0.025759886,0.05293656800000001
-0.542585,0.052818968,0.026896682,-0.025922286,0.052818968
-0.540609,0.052617368000000005,0.026773482,-0.025843886000000003,0.052617368000000005
-0.538633,0.05284696800000001,0.026986282,-0.025860686,0.05284696800000001
-0.5366569999999999,0.052460568000000006,0.026588682000000002,-0.025871886,0.052460568000000006
-0.534681,0.05263416800000001,0.026706284000000004,-0.025927886,0.05263416800000001
-0.532705,0.052460568000000006,0.026605482,-0.025855086000000003,0.052460568000000006
-0.530729,0.052438172000000005,0.026510284000000002,-0.025927886,0.052438172000000005
